Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2758,1072,6976.034,5,44.65,5,46.48,8,117.03,8,100.115,9,89.605,13,180.68,10,98.24,16,193.05,13,133.82,11,111.295,12,129.65,21,239.845,7,56.225,14,172.535,1224,8689.254
2759,3019,16227.663,11,75.3,26,219.94,27,201.41,15,156.055,28,227.22,52,397.59,35,449.92,33,400.935,49,605.595,23,182.835,33,289.43,45,811.44,17,146.18,21,171.99,3434,20563.503
2760,2830,15989.464,20,142.15,20,145.335,21,354.25,28,371.875,21,227.45,40,290.735,33,293.34,20,145.045,27,187.935,26,197.525,33,322.865,27,341.79,23,168.625,21,162.165,3190,19340.549
2761,4239,23578.976,30,221.405,47,369.99,46,347.05,37,356.555,39,705.92,58,520.24,55,445.085,61,483.945,42,352.08,48,418.465,46,367.88,41,326.215,33,270.15,19,144.26,4841,28908.216
2762,2490,17577.823,32,270.23,31,231.89,31,248.79,21,274.74,29,219.49,45,366.235,27,208.53,39,423.35,30,282.475,28,230.945,34,307.665,37,362.095,15,111.45,10,84.93,2899,21200.638
2763,3367,16113.016,23,180.35,31,275.27,21,142.705,19,141.03,28,231.27,34,278.045,37,283.585,57,468.205,33,294.385,37,322.705,40,391.365,61,545.625,30,244.9,24,230.27,3842,20142.726
2765,5937,46001.068,182,1360.505,149,1066.02,125,1117.94,116,1109.475,128,1175.17,181,1708.58,140,1327.915,226,1940.95,159,1415.625,132,1167.155,183,1889.825,185,2007.63,77,748.205,80,789.725,8000,64825.788
2766,1556,11358.087,12,92.325,13,196.635,23,244.16,10,68.87,19,284.67,12,190.555,14,188.135,14,156.025,11,201.025,10,155.595,7,61.81,22,207.34,8,75.01,3,25.315,1734,13505.557
2767,3203,12865.712,18,109.68,22,160.435,18,114.81,12,75.71,27,214.415,23,161.815,27,225.015,24,203.895,18,136.005,19,159.48,21,192.95,34,272.96,16,144.865,5,32.39,3487,15070.137
2768,3849,19240.892,42,357.525,35,307.39,27,223.945,26,210.72,25,232.06,37,291.745,25,182.49,46,356.2,36,324.435,30,270.47,47,453.09,40,321.245,20,142.24,14,139.62,4299,23054.067
